asin	warehouse_id	item_disposition_code	cost_acquisition_datetime	cost	cost_reference_id_source	inventory_txn_type_id	original_quantity	on_hand_quantity	in_transit_quantity	snapshot_day	distributor_list_price	received_day	order_type	distributor_order_order_id	adjustment_reason_code	inventory_cost_id	inventory_owner_group_id	inventory_fiscal_owner_id	fnsku	region_id	distributor_id
B005OJ4X32	JAX2	SELLABLE	2024-10-24 16:17:43	18.44	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	27.27	2024-10-24 00:00:00	9.000000000000000000	357ZGEFQ		100539444595726	1	239873	B005OJ4X32	1	70KOR
B0CCGK1F86	JAN1	SELLABLE	2024-06-17 01:51:31	13.71	DISTRIBUTOR_SHIPMENT_ITEM	1	4	4	0	2024-11-26 00:00:00	15.99	2024-06-16 00:00:00	9.000000000000000000	656YHIYZ		100450434190003	1	47381136	B0CCGK1F86	1	PRFY7
B000V5CJ1C	LAS1	SELLABLE		4.46	DISTRIBUTOR_SHIPMENT_ITEM	1	1	0	1	2024-11-26 00:00:00	11.00	2024-11-12 00:00:00	9.000000000000000000	8LXP5U7P		100540989446590	1	47381136	B000V5CJ1C	1	FOXAP
B0DHSZXBVV	MQY1	SELLABLE	2024-11-14 02:48:56	15.86	DISTRIBUTOR_SHIPMENT_ITEM	1	4	4	0	2024-11-26 00:00:00	22.99	2024-11-13 00:00:00	9.000000000000000000	69QE8RCY		100543605603496	1	47381136	B0DHSZXBVV	1	MBCPU
B00DT7TU8O	ROC1	SELLABLE	2021-02-08 05:22:37	7.16	TRANSSHIPMENT_ITEM	6	1	1	0	2024-11-26 00:00:00						100385065226431	1	47381136	B00DT7TU8O	1	STFHD
B0CW8L5G6Z	XPH8	SELLABLE	2024-11-06 17:09:47	6.23	DISTRIBUTOR_SHIPMENT_ITEM	1	8	8	0	2024-11-26 00:00:00	15.99	2024-11-06 00:00:00	35.000000000000000000	1SSEU8EH		100541087381077	1	47381136	B0CW8L5G6Z	1	EE74Z
B07HD8SFNT	SBD6	SELLABLE	2024-08-31 20:25:07	1.49	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	4.99	2024-08-31 00:00:00	9.000000000000000000	8IXVINVK		100490385180871	1	47381136	B07HD8SFNT	1	G0W0H
0990743403	CMH4	SELLABLE	2024-11-07 05:25:36	4.62	MANUFACTURED_ITEM	7	1	1	0	2024-11-26 00:00:00						100540507655974	1	47381136	0990743403	1	
B0CYM914DM	YVR3	SELLABLE	2024-08-02 08:53:21	509.99	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	599.99	2024-08-02 00:00:00	9.000000000000000000	4VFRWAXL		100473029560069	11	245038	B0CYM914DM	1	JT7NY
B01EAG3VUA	RIC2	UNSELLABLE	2024-09-26 12:52:32	23.68	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					P	100520906274994	1	239873	B01EAG3VUA	1	FRJJX
B00KCK55IU	JAX3	SELLABLE	2024-11-26 17:55:59	103.06	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	229.99	2024-11-26 00:00:00	35.000000000000000000	3W1G9AJX		100545067557802	1	239873	B00KCK55IU	1	P06AB
B01D7P5BFS	JVL1	SELLABLE	2024-10-10 06:52:36	19.70	CROSS_REGION_TRANSSHIPMENT_ITEM	18	1	1	0	2024-11-26 00:00:00	0.00	2024-11-17 00:00:00	35.000000000000000000	7GWAX2DT		100518406259641	1	47381136	B01D7P5BFS	1	GG6CX
B07KXQX3S3	FWA6	SELLABLE	2024-09-30 15:36:22	15.74	DISTRIBUTOR_SHIPMENT_ITEM	1	10	10	0	2024-11-26 00:00:00	34.99	2024-09-30 00:00:00	7.000000000000000000	3BQAAK4C		100509581009533	1	47381136	B07KXQX3S3	1	SDSK9
B07GB4S9H5	DEN8	SELLABLE	2024-10-15 19:49:48	56.49	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	79.99	2024-10-15 00:00:00	9.000000000000000000	3SIWGPJH		100516531465681	1	47381136	B07GB4S9H5	1	MJZTH
B084ZPFCGY	YOW3	SELLABLE	2024-11-08 16:29:00	7.47	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	7.47	2024-11-08 00:00:00	9.000000000000000000	5WPK2F1E		100532123098735	11	245038	B084ZPFCGY	1	GEP75
B0185PU38A	AGS1	SELLABLE	2024-11-07 19:21:26	7.41	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	14.22	2024-11-07 00:00:00	9.000000000000000000	74YMZARM		100532817133957	1	47381136	B0185PU38A	1	0V0PS
B0C5JVX1WW	SWF2	SELLABLE		7.14	DISTRIBUTOR_SHIPMENT_ITEM	1	1	0	1	2024-11-26 00:00:00	14.97	2024-11-21 00:00:00	9.000000000000000000	2AG5QSZQ		100541170473166	1	47381136	B0C5JVX1WW	1	FRVKE
B0C549MG62	TPA1	SELLABLE	2024-11-22 05:40:10	14.56	DISTRIBUTOR_SHIPMENT_ITEM	1	3	3	0	2024-11-26 00:00:00	24.99	2024-11-21 00:00:00	9.000000000000000000	3HETFZMR		100544008324927	1	239873	B0C549MG62	1	MEAAH
B01MYX62LD	MEM2	SELLABLE	2024-08-15 12:52:34	1.58	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	1.58	2024-08-15 00:00:00	7.000000000000000000	5NHJ1VHY		100480247141542	1	47381136	B01MYX62LD	1	BENPM
B00B6NS6Z6	OMA2	SELLABLE	2024-10-22 20:11:55	1.25	DISTRIBUTOR_SHIPMENT_ITEM	1	12	12	0	2024-11-26 00:00:00	4.78	2024-10-22 00:00:00	7.000000000000000000	1G5JGKKJ		100521138728155	1	47381136	B00B6NS6Z6	1	EVZ9G
B00N2VISLW	TUL2	SELLABLE	2024-05-21 09:11:27	0.54	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	4.29	2024-05-21 00:00:00	35.000000000000000000	67RBQMQD		100503554752267	1	47381136	B00N2VISLW	1	CE4WT
B06WGLV27L	IND2	SELLABLE	2024-06-15 19:04:21	47.18	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	54.99	2024-06-15 00:00:00	9.000000000000000000	7G229MTK		100444953808072	1	1043639	B06WGLV27L	1	DAMQ9
B094NWV5QV	MEM2	SELLABLE	2021-10-29 13:34:57	5.40	TRANSSHIPMENT_ITEM	6	1	1	0	2024-11-26 00:00:00						100131310139035	1	47381136	B094NWV5QV	1	CLOO7
B001B0H82Q	RIC4	SELLABLE	2024-11-23 14:23:03	2.95	DISTRIBUTOR_SHIPMENT_ITEM	1	10	10	0	2024-11-26 00:00:00	5.49	2024-11-23 00:00:00	9.000000000000000000	46PJ3QSP		100544020589689	1	47381136	B001B0H82Q	1	COTCM
B0C2CY22B8	JFK8	SELLABLE	2024-11-18 02:21:26	4.63	DISTRIBUTOR_SHIPMENT_ITEM	1	2	2	0	2024-11-26 00:00:00	6.58	2024-11-17 00:00:00	7.000000000000000000	7XYR1D6O		100540116494254	1	239869	B0C2CY22B8	1	B97H7
0446357421	YYC4	SELLABLE	2024-11-07 22:08:03	5.53	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	11.99	2024-11-07 00:00:00	9.000000000000000000	33GCGHUS		100531622257276	11	245038	0446357421	1	HACA2
B01JA8E5KS	TPA1	SELLABLE	2023-11-23 12:29:32	5.53	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	15.00	2023-11-23 00:00:00	9.000000000000000000	8MSOCP6A		100477385125135	1	239873	B01JA8E5KS	1	TOQ5Y
B00EE653BC	HDC3	SELLABLE	2024-06-04 05:57:42	3.20	DISTRIBUTOR_SHIPMENT_ITEM	1	5	5	0	2024-11-26 00:00:00	9.49	2024-06-02 00:00:00	9.000000000000000000	7M2OBIWI		100439626973692	1	47381136	B00EE653BC	1	NYLAD
B0896MFFJW	DTW1	SELLABLE	2024-11-21 02:30:45	6.26	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					R	100540754748892	1	239869	B0896MFFJW	1	SK45I
B0CYDBCSR7	SCK4	SELLABLE		16.71	DISTRIBUTOR_SHIPMENT_ITEM	1	1	0	1	2024-11-26 00:00:00	16.79	2024-11-23 00:00:00	9.000000000000000000	2V6TDQPN		100542776770387	1	47381136	B0CYDBCSR7	1	CLOO7
B004QPTTK2	TPA4	SELLABLE	2024-08-31 18:07:17	14.85	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					R	100489335111160	1	47381136	B004QPTTK2	1	ALCJ9
B07NQW2H4B	HOU6	SELLABLE	2024-09-18 21:59:59	6.12	DISTRIBUTOR_SHIPMENT_ITEM	1	4	4	0	2024-11-26 00:00:00	17.90	2024-09-18 00:00:00	20.000000000000000000	8KRHVT3X		100503385454038	1	47381136	B07NQW2H4B	1	Q27BV
B00G5KHWZA	BDL3	SELLABLE	2024-10-18 04:35:46	9.98	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					R	100518185989531	1	239869	B00G5KHWZA	1	ZEXTL
B09Z1FHB21	PCW1	SELLABLE	2024-10-26 10:29:26	93.56	DISTRIBUTOR_SHIPMENT_ITEM	1	2	1	0	2024-11-26 00:00:00	99.00	2024-10-26 00:00:00	9.000000000000000000	5E1IR61A		100535828209012	1	47381136	B09Z1FHB21	1	KWIK9
B0CN83ZFCD	FAT1	SELLABLE	2024-10-20 17:46:15	17.50	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	34.99	2024-10-20 00:00:00	7.000000000000000000	8MLHVQPV		100533293710360	1	239869	B0CN83ZFCD	1	CARIZ
B08VL3DH4S	GEG2	SELLABLE	2024-11-09 10:21:39	44.77	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	44.94	2024-11-09 00:00:00	9.000000000000000000	44DWYJGB		100532762374204	1	47381136	B08VL3DH4S	1	PRFY7
B00LJY4886	SAT4	SELLABLE	2024-09-27 23:57:33	32.00	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					P	100542411095755	37	47381136	X003VM9U8D	1	FEO5X
B0B92C968N	CLE2	SELLABLE	2024-05-13 22:00:55	8.73	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	15.58	2024-05-13 00:00:00	35.000000000000000000	6L7FYE2Y		100434976373791	1	239869	B0B92C968N	1	GW7KJ
B087K8DC6X	XMI3	SELLABLE		12.01	DISTRIBUTOR_SHIPMENT_ITEM	1	6	0	6	2024-11-26 00:00:00	16.99	2024-11-16 00:00:00	20.000000000000000000	2XENYDNQ		100537677842581	1	47381136	B087K8DC6X	1	S14E0
B0C1RNZGKG	SBW1	SELLABLE	2024-08-26 05:04:42	11.54	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	14.99	2024-08-25 00:00:00	9.000000000000000000	571OKJ2Y		100501206198724	1	47381136	B0C1RNZGKG	1	PRFY7
B0C7VCYWXF	OKC1	SELLABLE	2024-02-26 00:00:04	13.63	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	16.99	2024-02-25 00:00:00	9.000000000000000000	2SDSOLRA		100385225181340	1	47381136	B0C7VCYWXF	1	C96QA
B0D6VCFD75	MQY1	SELLABLE	2024-11-07 04:58:37	36.00	DISTRIBUTOR_SHIPMENT_ITEM	1	6	5	0	2024-11-26 00:00:00	59.99	2024-11-06 00:00:00	9.000000000000000000	61VIFBPG		100533213031606	1	47381136	B0D6VCFD75	1	BNRK9
B000244XFM	DEN4	SELLABLE	2024-09-07 22:35:46	6.93	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	10.98	2024-09-07 00:00:00	9.000000000000000000	5B1SCVDJ		100497924036592	1	47381136	B000244XFM	1	MAKI9
B0D7QJM1NK	CAE1	SELLABLE	2024-10-27 03:54:49	6.62	DISTRIBUTOR_SHIPMENT_ITEM	1	8	8	0	2024-11-26 00:00:00	12.98	2024-10-26 00:00:00	17.000000000000000000	6Q9JM6OQ		100529381278954	1	47381136	B0D7QJM1NK	1	REDZ
B00MJPVZC6	LIT1	SELLABLE	2024-11-23 17:43:23	48.40	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	57.50	2024-11-23 00:00:00	9.000000000000000000	2EQ7XCWZ		100544492607178	1	47381136	B00MJPVZC6	1	COZ6O
3766727486	PSP1	SELLABLE	2024-09-25 13:04:11	20.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	40.00	2024-09-25 00:00:00	17.000000000000000000	4KA5TGEL		100513949768926	1	47381136	3766727486	1	ANTCC
B00A441B2I	ROC1	SELLABLE	2024-11-20 06:43:52	22.04	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	55.10	2024-11-19 00:00:00	9.000000000000000000	71OGR6AQ		100542666667204	1	47381136	B00A441B2I	1	0ALZV
B08J126R8D	FAT1	SELLABLE	2024-11-15 06:23:27	17.55	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	23.99	2024-11-14 00:00:00	9.000000000000000000	8UNTV6OU		100538999817385	1	239869	B08J126R8D	1	HIBBI
B00C5AHTAC	ABQ1	SELLABLE	2024-11-01 18:23:11	33.50	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	33.50	2024-11-01 00:00:00	9.000000000000000000	2PD86A2C		100529399458627	1	47381136	B00C5AHTAC	1	3DZ0L
B00XM0EKMY	PHL7	SELLABLE	2024-10-25 01:08:57	28.96	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	57.99	2024-10-24 00:00:00	11.000000000000000000	1URBPS6G		100524801582286	1	239873	B00XM0EKMY	1	BOVRG
B01LR7AJOQ	GEG2	SELLABLE	2024-11-20 23:01:06	217.50	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	435.00	2024-11-20 00:00:00	11.000000000000000000	5LKOT81Z		100540654392496	1	47381136	B01LR7AJOQ	1	INSV9
B0BRT5NJ1S	YXU1	SELLABLE	2024-08-14 07:58:48	8.18	DISTRIBUTOR_SHIPMENT_ITEM	1	2	2	0	2024-11-26 00:00:00	12.92	2024-08-13 00:00:00	35.000000000000000000	18U4H4IX		100507099917328	11	245038	B0BRT5NJ1S	1	GJ6M7
B0BXJBB4TH	SDF4	SELLABLE	2024-05-11 01:28:45	43.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	89.95	2024-05-10 00:00:00	7.000000000000000000	2I39GOOA		100489108978096	1	239869	B0BXJBB4TH	1	SAQL9
B09Z734MYZ	VGT1	SELLABLE	2024-11-17 10:44:59	49.50	DISTRIBUTOR_SHIPMENT_ITEM	1	3	3	0	2024-11-26 00:00:00	89.95	2024-11-17 00:00:00	9.000000000000000000	3BS9QASL		100539179883406	1	47381136	B09Z734MYZ	1	REKR9
1481451596	MDW7	SELLABLE	2024-11-09 15:50:58	4.21	DISTRIBUTOR_SHIPMENT_ITEM	1	2	1	0	2024-11-26 00:00:00	8.99	2024-11-09 00:00:00	9.000000000000000000	54STPF1H		100534200181120	1	239869	1481451596	1	SIMN9
B09HR38V1T	GEG1	SELLABLE	2024-11-02 10:48:50	3.40	DISTRIBUTOR_SHIPMENT_ITEM	1	3	3	0	2024-11-26 00:00:00	9.99	2024-11-02 00:00:00	9.000000000000000000	7JGWB5PN		100533282979381	1	47381136	B09HR38V1T	1	FISW7
B07MWSX7J3	DWC4	SELLABLE	2024-08-16 14:33:11	4.73	TRANSSHIPMENT_ITEM	6	2	2	0	2024-11-26 00:00:00						100480857938281	1	47381136	B07MWSX7J3	1	JACJF
B07DKN7KV8	HDC3	SELLABLE	2024-10-11 18:27:06	35.06	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	39.99	2024-10-11 00:00:00	9.000000000000000000	8OEH51AR		100516142968567	1	47381136	B07DKN7KV8	1	GMCR7
B08TDYLYRG	FWA6	SELLABLE	2024-10-14 03:26:15	20.45	DISTRIBUTOR_SHIPMENT_ITEM	1	3	3	0	2024-11-26 00:00:00	24.99	2024-10-13 00:00:00	9.000000000000000000	1TRWQNEJ		100518412621336	1	47381136	B08TDYLYRG	1	CALEO
B09ZRQZBR3	SNV1	SELLABLE	2024-10-23 21:27:33	17.25	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	18.99	2024-10-23 00:00:00	7.000000000000000000	1OVKDYUL		100543927345387	1	47381136	B09ZRQZBR3	1	STNE4
B085RKNWDT	MIA1	SELLABLE	2022-11-10 18:07:31	19.75	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	69.90	2022-11-10 00:00:00	35.000000000000000000	6YZULJRP		100444793305696	1	239869	B085RKNWDT	1	O2676
B0716CKCL4	FSD1	SELLABLE	2024-07-12 03:17:07	14.94	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	17.94	2024-07-11 00:00:00	9.000000000000000000	8YW7MQEK		100462479767809	1	47381136	B0716CKCL4	1	COKT7
B08WQVCWB1	AFW1	SELLABLE	2022-06-19 15:35:59	6.63	TRANSSHIPMENT_ITEM	6	2	2	0	2024-11-26 00:00:00						100516847233261	1	47381136	B08WQVCWB1	1	0AKHF
B07FDPWR4X	CMH4	SELLABLE	2024-09-06 17:34:07	4.34	DISTRIBUTOR_SHIPMENT_ITEM	1	10	10	0	2024-11-26 00:00:00	8.69	2024-09-06 00:00:00	9.000000000000000000	41EN6SVG		100497117176653	1	47381136	B07FDPWR4X	1	PRJ3I
B07PJ6M12Z	XJF1	SELLABLE	2024-11-19 12:06:10	16.25	DISTRIBUTOR_SHIPMENT_ITEM	1	5	5	0	2024-11-26 00:00:00	24.49	2024-11-19 00:00:00	9.000000000000000000	4FVK8E8A		100544854839400	1	47381136	B07PJ6M12Z	1	UNKS9
B01LTHOPUS	BOI2	SELLABLE	2024-10-10 08:54:24	6.41	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	11.18	2024-10-10 00:00:00	9.000000000000000000	6Y588VKZ		100517047197544	1	47381136	B01LTHOPUS	1	BOIB7
B0D8QKQZ15	LGA9	SELLABLE	2024-10-06 23:28:57	9.99	DISTRIBUTOR_SHIPMENT_ITEM	1	2	1	0	2024-11-26 00:00:00	16.99	2024-10-06 00:00:00	9.000000000000000000	1J936RXV		100512738901648	1	239873	B0D8QKQZ15	1	ETBA9
